LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
8605184,4605184,1735.55088,8605184,9671248,9086344,9978433,8946295,9165575,8787270,9831013,9712135,11375784
8157975,4157975,1445.78448,8157975,9078769,8580024,9667147,8423422,8792040,8363406,9166441,9201292,10906940
7732688,3732688,1301.09112,7732688,8563995,8070526,9097830,7960885,8326150,7842473,8579969,8559358,10370433
7426826,3426826,1190.85624,7426826,8301875,7836510,8798372,7809914,8139819,7514029,8278520,8401858,10022007
7407612,3407612,1182.90312,7407612,8201779,7923710,8729481,7939575,8097472,7469135,8080225,8273309,9897990
7473272,3473272,1216.18224,7473272,8066349,7977748,8999176,8256205,8268538,7410372,8041213,8528337,9888977
7561868,3561868,1455.04296,7561868,8147380,8764478,9529313,9102946,9348035,7610164,8280874,9155083,10247553
7681690,3681690,1832.03832,7681690,8322281,9361499,10220958,10155438,10418351,7529246,8444997,9640589,10830644
7884370,3884370,2294.74392,7884370,8671847,10240200,10789944,10944211,11132523,7806867,8856830,10482590,11671536
8314629,4314629,2481.4524,8314629,9311493,10575975,11121420,10926128,11208197,8194221,9303673,10762129,11785833
8716715,4716715,2546.53896,8716715,9716439,10612039,11094598,10927833,11144201,8424453,9765435,11142604,12003718
8942919,4942919,2731.596,8942919,9957954,10748093,10961123,10931392,10909891,8397974,10025339,11313548,12002446
9292158,5292158,2737.00392,9292158,10004820,10662731,10652268,10830526,10699622,8655963,10107799,10721143,11885973
9239202,5239202,2535.16872,9239202,9921213,10557720,10345662,10785348,10629082,8903452,9956953,10940296,11648162
8996311,4996311,2420.71368,8996311,9798974,10218244,10436281,10846528,10746087,8784769,9776580,10960168,11680781
8950766,4950766,2477.39352,8950766,9697218,10244921,10787753,10909357,11002151,8773444,9753112,10931553,11785764
8990533,4990533,2655.78768,8990533,9732092,10274299,11003442,11011764,11102131,8789546,9749769,11178348,11805973
9445721,5445721,3283.10304,9445721,10068178,10743141,11785615,11396241,11616813,9415409,10350305,11535673,12302696
9933556,5933556,3462.33384,9933556,10420230,10958153,12247052,11794226,12226796,9970105,10640797,11815746,12745995
9842655,5842655,3334.76808,9842655,10063060,10692629,11784036,11514875,11859776,9863342,10467348,11454745,12446236
9421317,5421317,3115.24248,9421317,9557685,10084651,11364560,10808371,11292519,9685795,10037396,10941351,11956331
9140445,5140445,2876.9916,9140445,9148136,9662210,10778791,10099465,10504708,9121177,9539798,10183270,11299500
8909111,4909111,2644.8324,8909111,9077603,9598906,10843686,9768410,10402232,8877686,9478442,10265121,11375499
8998122,4998122,2165.43936,8998122,9346277,9976646,11269544,9989663,10788239,9103711,9885670,10805698,11785940
8813177,4813177,1508.32752,8813177,9253829,9958483,9214345,8304102,9649946,9755247,10651502,10498752,10289616
8315165,4315165,1289.60832,8315165,8790894,9549562,8729462,7976753,9053855,9303972,10268744,9940805,9751763
7920293,3920293,1190.87304,7920293,8350385,9217746,8248403,7587217,8622552,8676613,9757071,9420451,9372294
7825383,3825383,1108.58496,7825383,8345012,8990161,8150180,7205707,8318250,8350254,9350689,9161949,9087820
7778248,3778248,1117.20504,7778248,8254583,8914343,8295018,7080265,8270206,8380893,9213117,9090586,9056311
8147355,4147355,1209.40344,8147355,8541921,9116671,8553933,7059590,8180069,8719927,9392396,9259883,9394876
8955000,4955000,1621.49064,8955000,9294811,10063263,9357791,7225174,8430521,9602533,10070467,9867840,10230121
10003069,6003069,2137.09272,10003069,10356455,11168771,10320423,7318808,8598169,10751103,11180868,10725386,11586807
10126977,6126977,2264.04864,10126977,10562635,11223068,10605791,7335718,8845944,10725711,11204956,10981117,11929197
9750931,5750931,2236.81416,9750931,10617445,11188565,10949077,7955579,9342711,10866014,11035876,11187856,12121347
9150253,5150253,2208.71616,9150253,10279096,10581531,10895046,8275366,9405033,10646031,10733901,11075342,12360831
8922921,4922921,2356.75944,8922921,9937660,10152803,10873561,8635107,9349667,10285448,10601789,10787323,12532774
9090242,5090242,2256.28368,9090242,9527324,9552126,10743377,8911940,9308766,10030484,10586698,10743980,12283672
8894310,4894310,2071.04352,8894310,9326496,9346822,10568634,8672879,9189135,9771309,10750414,10946735,12414050
8737806,4737806,1997.59224,8737806,9179861,9247550,10686007,8422939,9128033,9559807,10934185,10930353,12327068
8760524,4760524,2046.59952,8760524,9552118,9543648,10780058,8336871,9295252,9535259,11031151,10961366,12216770
8931077,4931077,2277.88512,8931077,9862553,9937477,10831460,8227685,9572243,9708577,11089591,10900895,12016230
9357136,5357136,2659.062,9357136,10239072,10440803,10786774,8261717,9818976,10076234,11179522,10884466,12029441
9749478,5749478,3286.15224,9749478,11168530,11188431,11139872,9001129,10332899,10590395,11594671,11500970,12638520
9923278,5923278,3269.4228,9923278,11388904,11593927,11098786,9469198,10697201,11135479,12105232,11899619,12937778
9441997,5441997,3015.138,9441997,10682634,11073273,10537302,9250487,10242584,10576733,11406585,11261026,12434075
8882092,4882092,2751.90384,8882092,10326542,10502086,9947179,8736589,9571224,9988432,10903441,10547582,11603349
8721025,4721025,2468.84568,8721025,9712187,10281404,9504499,8532212,9557349,9831802,10879330,10538154,11628693
8736360,4736360,1948.23216,8736360,9888791,10530043,9643890,8587332,10017947,10264637,11363509,11100100,11846790
8983473,4983473,1633.06248,8983473,7975039,9402668,9251664,9308635,9858959,9683692,9559374,10205580,10704223
8456091,4456091,1393.26432,8456091,7595290,9085643,8745139,8915475,9278898,9253926,9259229,9561100,10169573
