Load_res,LFW,Load,LFS
1735.55088,0.443748055,9852.68725,0
1445.78448,0.436491221,9420.833,0
1301.09112,0.439491104,9003.54,0
1190.85624,0.451611752,8758.284,0
1182.90312,0.445068871,8732.3095,0
1216.18224,0.447867317,9114.0485,0
1455.04296,0.419219903,9816.299,0
1832.03832,0.36864517,10381.08925,0
2294.74392,0.335650285,11038.72875,2.79E-05
2481.4524,0.20569659,11198.5085,0.035495364
2546.53896,0.167570159,10976.08,0.117451182
2731.596,0.073560235,10833.38825,0.226092868
2737.00392,0.111573198,10476.9595,0.286628195
2535.16872,0.087196761,10384.32575,0.261897263
2420.71368,0.080727826,10486.75225,0.166024052
2477.39352,0.099550719,10915.28175,0.078978116
2655.78768,0.094430647,11203.39225,0.013105446
3283.10304,0.11536863,12026.1005,0
3462.33384,0.13478691,12112.0475,0
3334.76808,0.126034596,11644.2875,0
3115.24248,0.120101127,11146.64975,0
2876.9916,0.118455207,10672.12925,0
2644.8324,0.099089198,11015.108,0
2165.43936,0.09673315,11001.6945,0
1508.32752,0.482221505,9021.47725,0
1289.60832,0.506396854,8514.51425,0
1190.87304,0.509346478,8168.93875,0
1108.58496,0.505688638,8112.44825,0
1117.20504,0.46400433,8274.885,0
1209.40344,0.426957795,8779.3615,0
1621.49064,0.454729874,9758.91675,0
2137.09272,0.462244159,10668.767,0.000690874
2264.04864,0.405083873,10792.4715,0.010925298
2236.81416,0.357576703,10954.5605,0.03105548
2208.71616,0.255179029,10906.88375,0.057673616
2356.75944,0.187196908,10884.8995,0.090565501
2256.28368,0.162281698,10609.35875,0.119015809
2071.04352,0.168263879,10588.615,0.134237905
1997.59224,0.19412847,10674.56925,0.107854293
2046.59952,0.217097998,10756.24225,0.071548676
2277.88512,0.252102821,10803.74375,0.035142307
2659.062,0.359769006,10978.4615,0.005975725
3286.15224,0.433387386,11250.76975,2.54E-05
3269.4228,0.552797505,10846.0545,0
3015.138,0.599780879,10301.08675,0
2751.90384,0.635664151,9637.35525,0
2468.84568,0.685767382,9523.47025,0
1948.23216,0.729897162,9387.7545,0
1633.06248,0.530552216,9056.0905,0
1393.26432,0.501765278,8434.53075,0
1252.66008,0.503856053,8028.52425,0
1145.30808,0.385064904,7780.408,0
1114.764,0.38088227,7723.253,0
1131.28008,0.377456958,7822.65625,0
1274.79408,0.359127148,8124.8055,0
1615.95336,0.412809168,8276.1425,0.001600187
2218.62144,0.460395717,8585.752,0.029618699
2546.69184,0.453438766,8999.887,0.071322618
2644.41744,0.260810834,9285.7805,0.118176769
2828.42112,0.16920518,9376.19375,0.160657076
2850.26448,0.124199821,9467.66225,0.14669227
2679.0708,0.164340088,9226.149,0.153491794
